Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0.1,301,268.70057685088807,250,273.38686835190424,830,4,12662.29296875,9240.0,10240.0,1976.539058
2,1,0.1,301,268.70057685088807,250,273.38686835190424,830,4,12663.14453125,6860.0,8192.0,1976.23962
3,1,0.1,301,268.70057685088807,250,273.38686835190424,830,4,12663.14453125,6068.0,7168.0,1964.846257
4,1,0.1,301,268.70057685088807,250,273.38686835190424,830,4,12663.14453125,5804.0,7168.0,1967.208577
5,1,0.1,301,268.70057685088807,250,273.38686835190424,830,4,12663.14453125,5804.0,7168.0,1978.420086
6,1,0.1,301,268.70057685088807,250,273.38686835190424,830,4,12663.14453125,5804.0,7168.0,1972.032563
7,1,0.1,301,268.70057685088807,250,273.38686835190424,830,4,12663.14453125,5804.0,7168.0,1960.332797
8,1,0.1,301,268.70057685088807,250,273.38686835190424,830,4,12663.14453125,5804.0,7168.0,1965.150922
9,1,0.1,301,268.70057685088807,250,273.38686835190424,830,4,12663.14453125,6860.0,8192.0,1972.870834
10,1,0.1,301,268.70057685088807,250,273.38686835190424,830,4,12663.14453125,6860.0,8192.0,1979.031657
1,2,0.1,301,268.70057685088807,250,275.97265478953113,1144,5,12676.41796875,6860.0,8192.0,1691.688077
2,2,0.1,301,268.70057685088807,250,275.97265478953113,1144,5,12676.41796875,6860.0,8192.0,1701.884875
3,2,0.1,301,268.70057685088807,250,275.97265478953113,1144,5,12676.41796875,6860.0,8192.0,1706.733883
4,2,0.1,301,268.70057685088807,250,275.97265478953113,1144,5,12676.41796875,6860.0,8192.0,1688.439913
5,2,0.1,301,268.70057685088807,250,275.97265478953113,1144,5,12676.41796875,6860.0,8192.0,1699.796608
6,2,0.1,301,268.70057685088807,250,275.97265478953113,1144,5,12676.41796875,6860.0,8192.0,1704.975964
7,2,0.1,301,268.70057685088807,250,275.97265478953113,1144,5,12676.41796875,6860.0,8192.0,1703.199039
8,2,0.1,301,268.70057685088807,250,275.97265478953113,1144,5,12676.41796875,6860.0,8192.0,1691.715384
9,2,0.1,301,268.70057685088807,250,275.97265478953113,1144,5,12676.41796875,6860.0,8192.0,1694.86523
10,2,0.1,301,268.70057685088807,250,275.97265478953113,1144,5,12676.41796875,6860.0,8192.0,1698.446762
1,3,0.1,301,268.70057685088807,250,273.6295090390235,1004,5,12679.02734375,6860.0,8192.0,2256.212185
2,3,0.1,301,268.70057685088807,250,273.6295090390235,1004,5,12679.02734375,6860.0,8192.0,2241.417075
3,3,0.1,301,268.70057685088807,250,273.6295090390235,1004,5,12679.02734375,6860.0,8192.0,2258.00902
4,3,0.1,301,268.70057685088807,250,273.6295090390235,1004,5,12679.02734375,6860.0,8192.0,2255.804263
5,3,0.1,301,268.70057685088807,250,273.6295090390235,1004,5,12679.02734375,6860.0,8192.0,2246.849581
6,3,0.1,301,268.70057685088807,250,273.6295090390235,1004,5,12679.02734375,6860.0,8192.0,2257.149463
7,3,0.1,301,268.70057685088807,250,273.6295090390235,1004,5,12679.02734375,6860.0,8192.0,2249.159209
8,3,0.1,301,268.70057685088807,250,273.6295090390235,1004,5,12679.02734375,6860.0,8192.0,2248.28661
9,3,0.1,301,268.70057685088807,250,273.6295090390235,1004,5,12679.02734375,6860.0,8192.0,2252.46717
10,3,0.1,301,268.70057685088807,250,273.6295090390235,1004,5,12679.02734375,6860.0,8192.0,2247.904105
1,4,0.1,301,268.70057685088807,250,275.38686835190424,1168,5,12685.47265625,6860.0,8192.0,2003.735195
2,4,0.1,301,268.70057685088807,250,275.38686835190424,1168,5,12685.47265625,6860.0,8192.0,2003.512683
3,4,0.1,301,268.70057685088807,250,275.38686835190424,1168,5,12685.47265625,6860.0,8192.0,2016.663663
4,4,0.1,301,268.70057685088807,250,275.38686835190424,1168,5,12685.47265625,6860.0,8192.0,2013.362407
5,4,0.1,301,268.70057685088807,250,275.38686835190424,1168,5,12685.47265625,6860.0,8192.0,2008.310245
6,4,0.1,301,268.70057685088807,250,275.38686835190424,1168,5,12685.47265625,6860.0,8192.0,2021.783126
7,4,0.1,301,268.70057685088807,250,275.38686835190424,1168,5,12685.47265625,6860.0,8192.0,2006.272307
8,4,0.1,301,268.70057685088807,250,275.38686835190424,1168,5,12685.47265625,6860.0,8192.0,2012.72289
9,4,0.1,301,268.70057685088807,250,275.38686835190424,1168,5,12685.47265625,6860.0,8192.0,2023.050365
10,4,0.1,301,268.70057685088807,250,275.38686835190424,1168,5,12685.47265625,6860.0,8192.0,2054.884251
1,5,0.1,301,268.70057685088807,250,274.2152954766504,1025,5,12678.91796875,6860.0,8192.0,2123.128567
2,5,0.1,301,268.70057685088807,250,274.2152954766504,1025,5,12678.91796875,6860.0,8192.0,2122.811877
3,5,0.1,301,268.70057685088807,250,274.2152954766504,1025,5,12678.91796875,6860.0,8192.0,2125.722374
4,5,0.1,301,268.70057685088807,250,274.2152954766504,1025,5,12678.91796875,6860.0,8192.0,2127.880682
5,5,0.1,301,268.70057685088807,250,274.2152954766504,1025,5,12678.91796875,6860.0,8192.0,2124.113434
6,5,0.1,301,268.70057685088807,250,274.2152954766504,1025,5,12678.91796875,6860.0,8192.0,2158.370741
7,5,0.1,301,268.70057685088807,250,274.2152954766504,1025,5,12678.91796875,6860.0,8192.0,2121.702542
8,5,0.1,301,268.70057685088807,250,274.2152954766504,1025,5,12678.91796875,6860.0,8192.0,2126.793905
