Experiment,Grid number,Obstacle density,Grid size,s/g distance,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory Allocation (KB),RSS (KB),VMS (KB),Execution time (ms)
1,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,91.74336
2,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,93.754579
3,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,92.728317
4,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,92.659727
5,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,94.125826
6,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,92.342474
7,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,91.996717
8,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,91.780222
9,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,91.851101
10,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,91.960761
11,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,91.518708
12,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,91.884173
13,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,91.866111
14,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,92.90441
15,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,92.531338
16,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,92.717658
17,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,92.31993
18,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,92.628269
19,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,93.009657
20,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,92.23755
21,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,92.852509
22,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,91.636547
23,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,91.666713
24,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,92.053422
25,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,91.628301
26,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,92.278684
27,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,93.525729
28,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,93.577338
29,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,92.174982
30,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,91.85966
31,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,91.605623
32,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,91.876539
33,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,91.849752
34,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,93.000471
35,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,93.123785
36,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,92.906417
37,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,92.531217
38,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,92.32897
39,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,93.238466
40,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,93.775244
41,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,93.477677
42,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,92.971479
43,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,91.985475
44,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,92.028296
45,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,91.5535
46,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,92.197745
47,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,91.782457
48,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,91.969451
49,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,91.733999
50,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,92.44676
51,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,93.847768
52,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,94.557465
53,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,92.375866
54,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,92.395765
55,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,91.589937
56,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,91.919501
57,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,91.899046
58,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,91.721923
59,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,91.389544
60,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,91.757109
61,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,91.679264
62,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,92.144363
63,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,92.480023
64,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,92.713139
65,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,92.332839
66,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,92.938009
67,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,92.445001
68,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,92.622123
69,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,92.712494
70,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,92.234397
71,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,91.965208
72,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,91.553395
73,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,91.954788
74,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,93.469188
75,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,92.972719
76,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,92.786676
77,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,92.441395
78,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,92.579048
79,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,91.788675
80,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,92.209666
81,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,91.879813
82,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,92.023898
83,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,93.098502
84,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,91.987609
85,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,93.089377
86,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,92.177292
87,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,93.317516
88,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,93.437434
89,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,92.4092
90,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,92.554578
91,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,92.328315
92,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,91.918295
93,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,91.885193
94,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,91.836262
95,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,92.071817
96,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,92.30204
97,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,93.670964
98,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,93.631294
99,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,93.238628
100,1,0,31,73.53910524340094,250,124.81118318204301,2194,9,400.44921875,0.0,0.0,93.661643
1,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,120.517664
2,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,120.087455
3,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,118.999032
4,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,118.809512
5,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,118.575922
6,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,118.755452
7,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,118.900781
8,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,118.652278
9,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,119.214001
10,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,119.661109
11,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,120.684247
12,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,119.555339
13,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,119.268097
14,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,118.820921
15,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,119.897182
16,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,119.177742
17,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,119.589742
18,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,118.450751
19,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,118.943264
20,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,120.496508
21,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,119.532639
22,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,118.968336
23,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,118.361307
24,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,118.458564
25,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,119.234758
26,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,119.591088
27,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,118.374247
28,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,119.441953
29,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,120.618552
30,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,120.476377
31,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,119.479069
32,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,119.570709
33,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,118.338681
34,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,118.450598
35,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,119.985931
36,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,119.352573
37,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,118.564283
38,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,118.656862
39,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,119.02076
40,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,120.351728
41,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,119.398928
42,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,120.457784
43,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,119.025617
44,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,120.502113
45,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,118.409774
46,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,118.724996
47,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,118.477539
48,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,118.464959
49,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,119.617315
50,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,120.336026
51,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,119.399741
52,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,119.476636
53,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,118.95252
54,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,120.062582
55,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,120.18019
56,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,118.704243
57,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,118.329491
58,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,118.466288
59,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,119.877751
60,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,119.978675
61,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,119.355982
62,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,119.083412
63,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,118.356258
64,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,118.98386
65,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,120.125737
66,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,119.083668
67,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,118.501111
68,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,118.880426
69,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,122.07108
70,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,120.166145
71,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,119.124405
72,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,119.256915
73,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,119.72396
74,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,119.032211
75,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,118.531837
76,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,119.24136
77,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,118.198252
78,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,118.308758
79,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,119.39166
80,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,119.797062
81,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,119.286095
82,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,119.839839
83,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,119.156284
84,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,118.693103
85,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,118.094103
86,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,118.391112
87,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,118.336325
88,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,118.51599
89,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,119.875199
90,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,120.905329
91,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,118.957386
92,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,120.406832
93,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,118.24926
94,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,118.075006
95,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,118.573114
96,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,119.777531
97,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,117.920805
98,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,118.051783
99,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,119.381727
100,2,0,31,73.53910524340094,250,150.95331880577407,2862,12,443.33984375,0.0,0.0,119.1511
1,3,0,31,73.53910524340094,250,177.48023074035532,2974,12,454.79296875,0.0,0.0,122.311876
2,3,0,31,73.53910524340094,250,177.48023074035532,2974,12,454.79296875,0.0,0.0,120.776815
3,3,0,31,73.53910524340094,250,177.48023074035532,2974,12,454.79296875,0.0,0.0,121.232323
4,3,0,31,73.53910524340094,250,177.48023074035532,2974,12,454.79296875,0.0,0.0,121.32123
5,3,0,31,73.53910524340094,250,177.48023074035532,2974,12,454.79296875,0.0,0.0,122.398141
6,3,0,31,73.53910524340094,250,177.48023074035532,2974,12,454.79296875,0.0,0.0,120.939182
7,3,0,31,73.53910524340094,250,177.48023074035532,2974,12,454.79296875,0.0,0.0,121.129837
8,3,0,31,73.53910524340094,250,177.48023074035532,2974,12,454.79296875,0.0,0.0,121.291536
9,3,0,31,73.53910524340094,250,177.48023074035532,2974,12,454.79296875,0.0,0.0,123.960609
10,3,0,31,73.53910524340094,250,177.48023074035532,2974,12,454.79296875,0.0,0.0,123.121088
11,3,0,31,73.53910524340094,250,177.48023074035532,2974,12,454.79296875,0.0,0.0,123.037827
12,3,0,31,73.53910524340094,250,177.48023074035532,2974,12,454.79296875,0.0,0.0,122.133593
13,3,0,31,73.53910524340094,250,177.48023074035532,2974,12,454.79296875,0.0,0.0,121.049268
14,3,0,31,73.53910524340094,250,177.48023074035532,2974,12,454.79296875,0.0,0.0,120.447395
15,3,0,31,73.53910524340094,250,177.48023074035532,2974,12,454.79296875,0.0,0.0,121.285392
16,3,0,31,73.53910524340094,250,177.48023074035532,2974,12,454.79296875,0.0,0.0,120.949033
17,3,0,31,73.53910524340094,250,177.48023074035532,2974,12,454.79296875,0.0,0.0,121.070579
18,3,0,31,73.53910524340094,250,177.48023074035532,2974,12,454.79296875,0.0,0.0,121.74709
19,3,0,31,73.53910524340094,250,177.48023074035532,2974,12,454.79296875,0.0,0.0,123.41791
20,3,0,31,73.53910524340094,250,177.48023074035532,2974,12,454.79296875,0.0,0.0,122.111088
21,3,0,31,73.53910524340094,250,177.48023074035532,2974,12,454.79296875,0.0,0.0,121.82653
22,3,0,31,73.53910524340094,250,177.48023074035532,2974,12,454.79296875,0.0,0.0,122.421967
23,3,0,31,73.53910524340094,250,177.48023074035532,2974,12,454.79296875,0.0,0.0,121.529878
24,3,0,31,73.53910524340094,250,177.48023074035532,2974,12,454.79296875,0.0,0.0,120.901001
25,3,0,31,73.53910524340094,250,177.48023074035532,2974,12,454.79296875,0.0,0.0,120.778387
26,3,0,31,73.53910524340094,250,177.48023074035532,2974,12,454.79296875,0.0,0.0,120.952668
27,3,0,31,73.53910524340094,250,177.48023074035532,2974,12,454.79296875,0.0,0.0,121.557667
28,3,0,31,73.53910524340094,250,177.48023074035532,2974,12,454.79296875,0.0,0.0,121.399877
29,3,0,31,73.53910524340094,250,177.48023074035532,2974,12,454.79296875,0.0,0.0,123.012007
30,3,0,31,73.53910524340094,250,177.48023074035532,2974,12,454.79296875,0.0,0.0,123.285922
